freq make,freq address,freq all,freq 3d,freq our,freq over,freq remove,freq internet,freq order,freq mail,freq receive,freq will,freq people,freq report,freq addresses,freq free,freq business,freq email,freq you,freq credit,freq your,freq font,freq 000,freq money,freq hp,freq hpl,freq george,freq 650,freq lab,freq labs,freq telnet,freq 857,freq data,freq 415,freq 85,freq technology,freq 1999,freq parts,freq pm,freq direct,freq cs,freq meeting,freq original,freq project,freq re,freq edu,freq table,freq conference,freq semicolon,freq open parens,freq open square bracket,freq exclamation,freq dollar,freq pound,cap run length average,cap run length longest,cap run length total,IsSpam
Zero,Zero,Med,Zero,High,Zero,Zero,Zero,Zero,Med,Zero,Low,Zero,Zero,Zero,Zero,Med,Zero,Low,Zero,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Med,Zero,Zero,Zero,Zero,B,C,C,1
High,High,Zero,Zero,Zero,Zero,High,Zero,High,Med,Zero,Med,Zero,Zero,Zero,High,High,Zero,Low,Zero,High,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,High,Med,F,F,F,1
Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,A,A,B,1
Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,A,A,B,1
Med,Zero,Low,Zero,Med,Low,Low,Med,Low,Low,Zero,Med,Low,Med,Zero,Zero,Low,Low,Low,Zero,High,Zero,Med,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Low,Low,Low,Zero,D,D,F,1
Zero,Med,Med,Zero,High,Med,High,Zero,Zero,Med,Zero,Med,Zero,Zero,Zero,Zero,Zero,Med,High,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,Zero,Zero,Med,Zero,Med,Zero,Med,F,F,F,1
Zero,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,Zero,Med,Zero,Med,High,Zero,Med,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,Zero,Med,High,F,D,D,1
Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,A,A,C,1
Zero,Zero,Med,Zero,Low,Med,Zero,Zero,Med,Med,Med,Med,Zero,Zero,Zero,Low,Zero,Zero,Med,Zero,Med,Low,Low,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Med,Zero,Low,Med,Zero,F,F,F,1
Zero,Med,Med,Zero,High,Med,High,Zero,Zero,Med,Zero,Med,Zero,Zero,Zero,Zero,Zero,Med,High,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,Zero,Zero,Med,Zero,Med,Zero,Med,F,F,F,1
Zero,Zero,Zero,Zero,Zero,High,Zero,High,Zero,Zero,High,Med,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,C,C,B,1
Zero,Zero,Med,Zero,Med,High,Med,Med,Zero,Zero,Zero,Low,Med,Zero,Zero,Med,Med,Zero,Med,Zero,High,Zero,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,Zero,Zero,Med,Zero,Zero,Med,Zero,B,B,D,1
Zero,Zero,High,Zero,Med,Zero,Zero,High,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,High,High,Med,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,F,F,D,1
Zero,Med,Med,Zero,High,Med,High,Zero,Zero,Med,Zero,Med,Zero,Zero,Zero,Zero,Zero,Med,High,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,Zero,Zero,Med,Zero,Med,Zero,Med,F,F,F,1
Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,High,High,B,B,B,1
Zero,Zero,Med,Zero,Med,Zero,Zero,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Med,High,Zero,Med,Zero,Low,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,Zero,Zero,Med,Med,Med,Med,Zero,D,F,D,1
Zero,Zero,Low,Zero,Med,Zero,Low,Zero,Med,Low,Low,Zero,Zero,Zero,Zero,High,Zero,High,Low,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,High,High,Low,F,D,F,1
Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,Low,Zero,Zero,Zero,High,Low,Zero,Zero,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,C,D,C,1
Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Med,High,Zero,Zero,Zero,Zero,Zero,Med,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,High,High,Zero,F,D,D,1
Low,Low,Med,Zero,High,Low,Low,Zero,Med,Low,Zero,Med,Zero,Low,Zero,Med,Low,Low,High,Zero,Med,Zero,Low,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Med,Med,Med,Low,F,F,F,1
Med,Med,Med,Zero,Low,Med,Zero,Med,Med,Med,Med,Med,Low,Zero,Zero,High,Med,Low,Med,Zero,Med,Zero,Low,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,Zero,Zero,Zero,Low,Zero,Zero,Zero,Zero,Med,Zero,High,High,Zero,D,F,F,1
Med,Med,Med,Zero,Low,Med,Zero,Med,Med,Med,Med,Med,Low,Zero,Zero,High,Med,Low,Med,Zero,Med,Zero,Low,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,Zero,Zero,Zero,Low,Zero,Zero,Zero,Zero,Med,Zero,High,High,Zero,D,F,F,1
Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,D,D,B,1
Zero,Zero,High,Zero,Med,Zero,Zero,High,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,High,High,Med,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,F,F,D,1
High,Zero,Med,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,High,Zero,Med,Zero,High,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,High,Zero,C,D,C,1
Zero,Zero,Med,Zero,Med,High,Med,Med,Zero,Zero,Zero,Low,Med,Zero,Zero,Med,Med,Zero,Med,Zero,High,Zero,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,Zero,Zero,Med,Zero,Zero,Med,Med,C,D,D,1
Low,Med,Med,Zero,Med,Med,Low,Zero,Low,Med,Low,High,Low,Zero,Low,Zero,Low,Med,High,Zero,Med,Zero,Zero,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Low,Zero,Med,Med,Low,D,D,F,1
Zero,Zero,Med,Zero,Med,High,Med,Med,Zero,Zero,Zero,Low,Med,Zero,Zero,Med,Med,Zero,Med,Zero,High,Zero,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,Zero,Zero,Med,Zero,Zero,Med,Med,C,D,D,1
Zero,Zero,Low,Zero,Med,Zero,Low,Zero,Med,Low,Low,Zero,Zero,Zero,Zero,High,Zero,High,Low,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,High,High,Low,F,D,F,1
Zero,Zero,Med,Zero,High,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,Med,Zero,Med,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,Low,Zero,Zero,B,C,D,1
Zero,Med,Med,Zero,Med,Zero,Low,Zero,Zero,Med,Med,Zero,Low,Zero,Med,Low,Zero,Med,Low,Low,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Med,Med,F,F,F,1
Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Med,High,Med,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,Zero,Zero,Med,Zero,Med,Med,Zero,D,D,C,1
Low,Low,Low,Zero,Zero,Zero,Zero,Zero,High,Low,Low,Med,Zero,Zero,Zero,Low,Zero,Low,Med,Low,Med,Zero,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Med,Med,Med,D,F,F,1
Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,F,D,C,1
Zero,Zero,High,Zero,Zero,Med,Zero,Med,Zero,Zero,Zero,High,Med,Zero,Zero,Low,Med,Zero,Med,Zero,Med,Zero,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Med,Zero,D,D,C,1
Med,Zero,Zero,Zero,High,Zero,High,Zero,Zero,Zero,High,Zero,Zero,Med,Zero,Med,Zero,Med,Med,High,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Low,Med,Zero,B,B,C,1
Low,Low,Low,Zero,Zero,Zero,Zero,Zero,High,Low,Low,Med,Zero,Zero,Zero,Low,Zero,Low,Med,Low,Med,Zero,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Med,Med,Med,D,F,F,1
Low,Low,Low,Zero,Zero,Zero,Zero,Zero,High,Low,Low,Med,Zero,Zero,Zero,Low,Zero,Low,Med,Low,Med,Zero,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Med,Med,Med,D,F,F,1
Zero,Zero,Med,Zero,High,Zero,Med,Zero,Zero,Zero,Zero,Med,Zero,Zero,Zero,Med,Zero,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,C,B,C,1
Med,Med,Zero,Zero,Med,Zero,Zero,Zero,Med,Med,Zero,High,Zero,High,Zero,Zero,Med,Zero,High,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,Low,Med,Med,D,D,D,1
Zero,Zero,Zero,Zero,High,Zero,High,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,F,F,B,1
Zero,Med,Med,Zero,High,Med,High,Zero,Zero,Med,Zero,Med,Zero,Zero,Zero,Zero,Zero,Med,High,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,Zero,Zero,Low,Zero,Med,Zero,Med,F,F,F,1
Zero,Low,Zero,Zero,Zero,Zero,Low,Med,Zero,Low,Med,Med,Zero,Zero,Zero,Zero,Low,Med,Low,Zero,Med,Med,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Med,Low,Low,Low,High,D,D,F,1
Zero,Zero,Med,Zero,Med,Zero,Zero,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Med,High,Zero,Med,Zero,Low,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,Zero,Zero,Med,Med,Med,High,Zero,D,F,D,1
Zero,Med,Med,Zero,High,Med,High,Zero,Zero,Med,Zero,Med,Zero,Zero,Zero,Zero,Zero,Med,High,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,Zero,Zero,Low,Zero,Med,Zero,Med,F,F,F,1
Zero,Med,Med,Zero,Med,Zero,Low,Zero,Zero,Med,Med,Zero,Low,Zero,Med,Low,Zero,Med,Low,Low,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Low,F,F,F,1
Zero,Med,Med,Zero,High,Med,High,Zero,Zero,Med,Zero,Med,Zero,Zero,Zero,Zero,Zero,Med,High,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,Zero,Zero,Low,Zero,Med,Zero,Med,F,F,F,1
Zero,High,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,High,Zero,Zero,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Med,Med,Med,F,F,D,1
Zero,Zero,Low,Zero,Low,Zero,Low,Zero,Med,Zero,Med,Zero,Zero,Zero,Zero,Med,Zero,High,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,High,High,Low,F,D,F,1
Zero,Med,Med,Zero,Med,Zero,Low,Zero,Zero,Med,Med,Zero,Low,Zero,Med,Low,Zero,Med,Low,Med,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Low,Med,F,F,F,1
Med,Zero,Med,Zero,Low,High,Med,Med,Low,Low,Med,Med,Zero,Zero,Zero,Med,High,Med,Med,High,High,Zero,Low,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,High,Med,Zero,D,F,F,1
Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Med,Zero,Zero,D,D,C,1
Zero,Zero,Low,Zero,Low,Zero,Low,Zero,Med,Zero,Med,Zero,Zero,Zero,Zero,Med,Zero,High,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,High,High,Low,F,D,F,1
Zero,Med,Med,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,High,Zero,Zero,C,C,C,1
Zero,Zero,Med,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,Med,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,Zero,Zero,Med,Zero,High,Zero,Zero,A,B,C,1
Med,Zero,Low,Zero,High,Med,Low,Low,Low,Low,Low,Med,Med,Low,Zero,Zero,Med,Low,High,Med,Med,Zero,Med,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,Low,Zero,Zero,Zero,Low,Low,Zero,Low,Med,Zero,B,C,F,1
Low,Low,Med,Zero,Low,Low,Med,Med,Low,Med,Med,Med,Zero,Zero,Zero,Low,High,Med,Med,Med,High,Zero,Zero,Low,Low,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,Low,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,High,Low,Zero,D,F,F,1
Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Med,Med,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Med,Zero,F,F,D,1
Med,Low,Med,Zero,Med,Med,Low,High,Low,Med,Med,High,Zero,Zero,Zero,Zero,High,Zero,Med,High,High,Zero,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,High,Low,Zero,F,F,F,1
Low,Low,Med,Zero,High,Med,Low,Zero,Med,Low,Zero,High,Zero,Low,Zero,Med,Low,Low,High,Zero,Med,Zero,Low,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Med,Med,Med,Low,F,F,F,1
Zero,Med,Zero,Zero,High,Zero,Med,Med,Zero,Med,Zero,Med,Med,Zero,Zero,Zero,Med,Med,Med,Zero,Med,Zero,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Low,High,Low,Zero,B,D,D,1
Zero,Zero,Med,Zero,Med,Zero,Zero,Low,Low,Low,Low,Low,Low,Zero,Zero,Zero,Zero,Zero,Low,Zero,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,Zero,Low,Zero,A,C,D,1
Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,High,Med,Med,Zero,Zero,Med,Zero,Zero,High,Med,Med,Zero,High,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Med,Zero,F,D,D,1
Zero,Zero,Med,Zero,Med,High,Med,Med,Zero,Zero,Zero,Low,Med,Zero,Zero,Med,Med,Zero,Med,Zero,High,Zero,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,Zero,Zero,Med,Zero,Zero,Med,Zero,B,B,D,1
Med,Zero,Med,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,Zero,Med,Med,Zero,Med,Zero,High,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,High,Zero,C,D,C,1
